,City,Lattitude,Longitude,Temperature,Max Temperature,Humidity,Pressure,Cloud Cover,Wind Speed,Feels Like,Weather
0,khatanga,71.9667,102.5,1.99,1.99,94.0,1002.0,98.0,11.23,-10.61,overcast clouds
2,provideniya,64.3833,-173.3,27.52,27.52,75.0,995.0,100.0,8.19,19.26,overcast clouds
3,dikson,73.5069,80.5464,13.87,13.87,88.0,998.0,100.0,17.9,1.27,overcast clouds
4,saldanha,-33.0117,17.9442,58.46,58.46,82.0,1009.0,100.0,22.19,57.87,light rain
5,mataura,-46.1927,168.8643,72.32,72.32,39.0,1020.0,99.0,1.28,71.08,overcast clouds
6,baoqing,46.3317,132.2111,53.26,53.26,36.0,1021.0,3.0,12.21,49.98,clear sky
7,sidney,-33.8679,151.2073,83.44,91.35,58.0,1010.0,0.0,11.99,86.14,clear sky
8,moba,33.2288,105.0179,42.66,42.66,91.0,1023.0,100.0,4.72,39.79,overcast clouds
9,urumqi,43.801,87.6005,34.75,34.75,93.0,1036.0,90.0,6.71,29.01,light rain
10,tiznit,29.5833,-9.5,60.84,60.84,70.0,1014.0,0.0,0.56,59.92,clear sky
11,johnson city,36.3134,-82.3535,54.32,55.42,74.0,1018.0,90.0,4.61,52.93,overcast clouds
12,nikolskoye,59.7035,30.7861,42.73,44.87,80.0,989.0,100.0,12.33,36.16,overcast clouds
13,noumea,-22.2763,166.4572,82.38,82.38,75.0,1016.0,4.0,9.44,88.39,clear sky
14,rozivka,46.9385,35.7724,51.73,51.73,89.0,1016.0,98.0,6.4,50.79,overcast clouds
15,brownsville,25.9018,-97.4975,79.14,80.91,83.0,1014.0,1.0,4.61,79.14,clear sky
16,nanortalik,60.1432,-45.2371,38.77,38.77,97.0,992.0,100.0,10.49,31.91,light rain
17,mar del plata,-38.0023,-57.5575,54.59,56.08,91.0,1012.0,90.0,1.99,54.03,overcast clouds
18,atuona,-9.8,-139.0333,77.88,77.88,79.0,1013.0,23.0,17.2,79.09,light rain
19,new norfolk,-42.7826,147.0587,51.75,53.92,80.0,1012.0,100.0,2.24,50.38,light rain
21,vaini,-21.2,-175.2,77.16,77.16,78.0,1016.0,75.0,14.97,78.24,broken clouds
22,hermanus,-34.4187,19.2345,58.8,58.8,88.0,1005.0,100.0,23.55,58.51,moderate rain
23,porto belo,-27.1578,-48.5531,67.24,69.78,89.0,1013.0,7.0,10.8,67.86,clear sky
24,georgetown,5.4112,100.3354,84.13,84.13,79.0,1013.0,20.0,4.61,93.96,few clouds
26,uruzgan,32.8333,66.0,44.28,44.28,18.0,1018.0,0.0,7.92,39.83,clear sky
27,kaitangata,-46.2817,169.8464,60.67,60.67,61.0,1022.0,99.0,6.4,59.31,overcast clouds
28,albany,42.6001,-73.9662,42.06,47.44,82.0,1013.0,48.0,5.23,38.73,scattered clouds
29,tasiilaq,65.6145,-37.6368,32.16,32.16,92.0,995.0,100.0,11.36,23.27,light snow
30,lermontovka,47.1453,134.3383,47.82,47.82,50.0,1020.0,16.0,7.85,44.19,few clouds
31,yulara,-25.2406,130.9889,80.44,80.44,24.0,1020.0,0.0,17.27,79.07,clear sky
32,palu,-0.8917,119.8707,84.4,84.4,70.0,1014.0,99.0,1.63,91.35,overcast clouds
33,port shepstone,-30.7414,30.455,64.47,64.47,86.0,1009.0,49.0,5.61,64.67,scattered clouds
34,nome,64.5011,-165.4064,39.27,39.27,56.0,985.0,90.0,19.57,29.62,overcast clouds
35,tucuma,-0.1833,-50.05,77.45,77.45,86.0,1011.0,98.0,5.91,78.94,overcast clouds
36,kolokani,13.5728,-8.0339,78.94,78.94,70.0,1011.0,88.0,3.36,78.94,overcast clouds
38,coihaique,-45.5752,-72.0662,46.35,46.35,57.0,1007.0,40.0,14.97,39.97,light rain
39,kangaatsiaq,68.3065,-53.4641,27.21,27.21,92.0,1004.0,96.0,11.7,16.9,light snow
42,rikitea,-23.1203,-134.9692,74.07,74.07,83.0,1017.0,9.0,19.66,75.07,clear sky
43,busselton,-33.65,115.3333,66.04,66.04,55.0,1025.0,0.0,4.85,64.92,clear sky
